Incident_ID,Date,Location,Risk_Level,Incident_Summary,Status,Resolution_Date
144,2026-01-02,"692 Jacob Roads, South Kelly, PR 12505",HIGH,Read occur available common. Fly term send.,Resolved,2026-01-07
214,2026-01-03,"718 Derrick Course Apt. 432, South Thomas, WI 20605",HIGH,Moment character fight kind right despite serve. Still itself security environmental race coach quite woman.,Resolved,2026-01-04
97,2026-01-04,"50571 Palmer Loop, Port Phillipfort, IA 21659",MEDIUM,Wait executive catch large own. Society local hot somebody probably pass.,Open,
51,2026-01-05,"0521 Kline Forks, Johnberg, MI 80302",HIGH,Final suggest card consider international series above bank.,Open,
185,2026-01-09,"USNV Lopez, FPO AP 74272",MEDIUM,My opportunity able because evidence police lose third.,Open,
212,2026-01-10,"3505 Alvarado Prairie Apt. 165, Hannahhaven, IN 01464",LOW,Network gun result these.,Open,
89,2026-01-10,"3386 Charles Hills, Carterfort, LA 72582",HIGH,Soon buy eye operation big star. Design billion mind.,Resolved,2026-01-17
80,2026-01-10,"518 Anthony Gateway Suite 778, Port Ryan, NC 45514",LOW,Beautiful but authority yet. Say boy sport less never method.,Resolved,2026-01-16
153,2026-01-10,"9850 Smith Flat, Karlachester, OR 75071",CRITICAL,Ability former business determine. Down medical agency serve table democratic describe.,Resolved,2026-01-13
46,2026-01-10,"PSC 3820, Box 5991, APO AE 32357",CRITICAL,Brother listen nor help one her. Building process summer wrong.,Open,
189,2026-01-11,"10321 Pennington Garden Apt. 791, South Erikaborough, GU 62465",HIGH,Than work conference quality yeah. Beat card quite whom.,Resolved,2026-01-13
196,2026-01-11,"14530 Alicia Mountain, Port Danny, NM 08519",HIGH,Billion create thousand whole.,Resolved,2026-01-15
202,2026-01-11,"261 Johnson Crossroad Suite 062, Fryeburgh, WY 58114",MEDIUM,Member commercial me sound. End popular it line story look summer.,Resolved,2026-01-12
69,2026-01-12,"4773 William Unions, Susanstad, VA 18719",LOW,Produce guess travel such difficult get through. Even but time government.,Open,
119,2026-01-14,"98090 Brown Lakes, Port Jared, AS 24232",LOW,Step leg Democrat skill mention information only our.,Open,
132,2026-01-15,"3566 Cole Locks, Sheilaberg, VI 28483",MEDIUM,Expert tax you.,Resolved,2026-01-21
187,2026-01-16,"Unit 9218 Box 2621, DPO AA 37057",LOW,Now reach statement stop specific herself past.,Resolved,2026-01-21
192,2026-01-16,"942 Courtney Parkway, East Christopher, MO 94629",HIGH,House improve generation street often.,Resolved,2026-01-18
61,2026-01-17,"018 Li Stream Apt. 469, North Jessica, CO 23434",MEDIUM,Source she identify character church.,Resolved,2026-01-18
198,2026-01-17,"100 Christopher Islands Apt. 161, Port Donaldland, OK 56448",MEDIUM,Experience why present reflect.,Open,
4,2026-01-18,"3630 Catherine Locks, Laurahaven, AS 69974",LOW,Line page woman summer than response that. Here six size.,Open,
177,2026-01-18,"146 Edwards Mountains Suite 251, Stevenshire, AK 68510",HIGH,Prepare number hospital fact behavior.,Resolved,2026-01-27
183,2026-01-18,"517 Ramirez Lock, Tanyaland, VT 80900",LOW,Sure citizen image site between themselves free. Style cover take government produce.,Open,
203,2026-01-20,"USS Peterson, FPO AE 13909",LOW,Myself model discussion.,Open,
32,2026-01-21,"372 Julie Hill Suite 488, East Brian, MN 03448",MEDIUM,Only business kid particularly federal natural.,Resolved,2026-01-22
138,2026-01-21,"68118 Heather Square, East Aaron, CO 91099",LOW,Different decide author member wrong democratic.,Resolved,2026-01-30
6,2026-01-21,"68352 Hall Stream, East Debrahaven, OH 90208",MEDIUM,Surface thus institution how keep.,Open,
171,2026-01-22,"511 Bell Trail, Port Davidside, AZ 03540",MEDIUM,Everybody fish student building official. Almost organization current police choose.,Open,
129,2026-01-22,"446 Zachary Well, Port Steven, DE 94614",LOW,Common second power final. Especially ago interview player beat arrive.,Resolved,2026-01-31
134,2026-01-22,"5546 Jackson Cape Suite 670, Stewartstad, MO 90136",HIGH,Thus shoulder career buy yourself.,Resolved,2026-01-27
3,2026-01-23,"1545 Jennifer Village, Hubbardfort, IA 56313",MEDIUM,Decade person quickly whose subject serve floor. Good theory store these.,Resolved,2026-01-24
205,2026-01-23,"39252 Hood River, Josephberg, UT 68416",CRITICAL,Subject fast hospital star successful story. Growth decade meeting draw help behavior.,Resolved,2026-02-02
66,2026-01-24,"6354 Lucas Flat Suite 782, Carrberg, CO 68650",MEDIUM,Sport rest off morning get stand yes hospital. Catch surface as up.,Resolved,2026-02-02
29,2026-01-24,"79725 Ruiz Points, Lake Margaret, NM 62933",LOW,Beautiful industry put fine dream as cultural. Mean relate huge born back appear fast radio.,Resolved,2026-02-01
49,2026-01-26,"992 Howard Summit Suite 628, Teresatown, NV 78321",MEDIUM,Provide hope watch before. Music water newspaper culture someone hotel ready affect.,Resolved,2026-01-30
209,2026-01-28,"008 Vanessa Brook, Stonebury, CA 48545",HIGH,Alone every experience fast resource memory mouth. Speak operation cultural ten attack trade thousand.,Resolved,2026-01-31
158,2026-01-30,"43639 Sarah Burgs, Spencerport, MA 40411",LOW,Billion here according capital. Difficult base benefit crime.,Open,
122,2026-01-31,"USS Webster, FPO AE 29233",MEDIUM,Large stay current who hundred never would indeed.,Open,
93,2026-02-01,"5980 Rowe Well, Tannerstad, KS 64655",MEDIUM,Middle about run avoid.,Resolved,2026-02-07
101,2026-02-01,"73338 Chase Lodge, Lake Michelleton, AK 44751",HIGH,Keep rather simple civil world. Pass let would cold employee.,Open,
172,2026-02-03,"10721 Martinez Plain Apt. 746, West Kevinfurt, SC 76924",MEDIUM,None everyone pay pattern fact. Many allow bad particularly each job environmental.,Resolved,2026-02-07
149,2026-02-05,"254 Leslie Row, Johnfort, IL 55207",CRITICAL,Out I avoid concern treatment short blood. Trial present tree court.,Open,
117,2026-02-06,"5498 Johnston Points, Maciaschester, VT 88211",LOW,Meet power though forget front head when. Early news chair instead age stage take.,Resolved,2026-02-13
160,2026-02-06,"061 Humphrey Islands, Sandraborough, AZ 50302",LOW,Treatment feel focus most continue vote dog. Themselves research single third nation authority among.,Resolved,2026-02-11
131,2026-02-09,"0140 Mcdonald Extensions Suite 932, East Claytonside, WY 83330",MEDIUM,Player quickly body. Although read class school.,Open,
54,2026-02-09,"PSC 6854, Box 4385, APO AA 59949",HIGH,Three business young ability everything respond they.,Resolved,2026-02-19
74,2026-02-11,"30175 Kaitlyn Orchard Apt. 386, Scottfurt, HI 03167",MEDIUM,One hold indeed. Body real tree yes.,Open,
22,2026-02-11,"7709 Anderson Mountains, Taylormouth, MS 39579",MEDIUM,View current hear. Property name pick special card.,Resolved,2026-02-21
43,2026-02-12,"81478 Hannah Summit Suite 740, South Morganside, MS 99896",LOW,Price send vote American.,Resolved,2026-02-20
98,2026-02-12,"802 Bryan Drive Suite 727, Timothystad, WA 38070",CRITICAL,Interesting face but drop four set. Out improve board teacher water child.,Open,
123,2026-02-13,"499 Allen Knolls, West Juan, AL 61595",MEDIUM,Affect box hot threat fund. Effort store mouth debate.,Resolved,2026-02-21
211,2026-02-14,"9569 Paige Motorway Suite 914, South Amandaport, LA 76735",MEDIUM,Cell tend main social Mrs listen also dream.,Resolved,2026-02-21
193,2026-02-16,"75084 Warren Parkway, Bennettstad, GU 69358",CRITICAL,News day challenge science national key. Try role throughout late.,Resolved,2026-02-22
118,2026-02-17,"0656 Albert Street, East Isabelville, IN 91919",HIGH,Fall majority century computer forward team type. Strong case air camera accept feeling outside.,Resolved,2026-02-26
179,2026-02-17,"965 Norton Forge Suite 039, South Rachel, KY 96233",MEDIUM,Sister artist order.,Open,
79,2026-02-17,"7491 Joanne Point, West Patrick, MO 97150",LOW,Reach century foreign body.,Resolved,2026-02-19
70,2026-02-17,"74447 Franklin Springs Suite 077, Nancystad, PR 78810",MEDIUM,Fear around skill member least.,Resolved,2026-02-26
141,2026-02-18,"9319 Bailey Turnpike Suite 930, South Christopher, AZ 40823",LOW,Take without baby different manager if color.,Resolved,2026-02-20
88,2026-02-19,"66981 Davis Harbor, Zamoramouth, VA 89959",LOW,Raise notice affect. City per lose miss girl.,Resolved,2026-02-21
175,2026-02-20,"40882 Nathan Springs, Watsonberg, RI 69849",MEDIUM,Movie structure quickly well collection.,Open,
168,2026-02-20,"208 Laura Grove, West Kevin, PW 35268",LOW,Stuff car however coach stock important. Note few close include her.,Resolved,2026-02-28
213,2026-02-21,"75073 Watson Cliff Suite 898, Port Stephanieborough, AR 51875",HIGH,These professional painting campaign enough.,Resolved,2026-02-25
86,2026-02-22,"410 Morgan Vista Suite 117, Benjaminmouth, TN 60232",MEDIUM,Score concern think. Matter large possible health rate easy over off.,Open,
139,2026-02-23,"3200 Kelsey Key, Christopherville, ME 36107",LOW,Test science special science.,Resolved,2026-03-05
188,2026-02-25,"605 Manning Mission Suite 049, Erikberg, NE 28694",MEDIUM,Artist system together education affect. Attack vote huge.,Open,
104,2026-02-25,"30527 Andrew Gateway Suite 331, Jenningsstad, MP 99499",LOW,Society grow beautiful attorney management. Begin month dog growth specific I.,Resolved,2026-03-03
155,2026-02-26,"5658 Joseph Ranch Suite 881, Smithton, SD 35471",MEDIUM,Very scene support almost agree news. Watch power night.,Resolved,2026-03-05
120,2026-02-26,"4023 Marilyn Fort, Haydenmouth, VT 54683",LOW,Firm guy street approach. Modern but above tell finish because push school.,Open,
176,2026-02-26,"5032 Nicole Crest Suite 491, Port Todd, PR 22551",HIGH,Perform many difficult goal.,Resolved,2026-02-27
27,2026-03-02,"00350 Graham Orchard Suite 484, Victoriaberg, KS 82509",LOW,Safe church drop up mind wall civil. Even attorney because father right politics positive data.,Resolved,2026-03-09
35,2026-03-03,"8214 Sabrina Spring, New Leslieburgh, WV 49394",LOW,Couple five be letter matter establish.,Open,
210,2026-03-04,"58750 Rodney Burgs, Joanport, ME 58596",CRITICAL,Modern together common such product box mother bank. Size specific gas issue often.,Resolved,2026-03-10
156,2026-03-04,"5368 Smith Highway Apt. 690, Lake Mark, MH 30984",LOW,Deep away majority expert since.,Resolved,2026-03-14
200,2026-03-05,"148 Andrew Loop, New Lisaport, WV 45869",LOW,But fact pretty dream interview.,Open,
15,2026-03-05,"24248 Smith Key, South Jose, TX 31667",LOW,Piece message student citizen. Blue very woman perhaps free report.,Resolved,2026-03-10
186,2026-03-06,"63760 Olson Crest Apt. 565, North Edwardview, CT 25199",LOW,On traditional everyone policy economy possible away.,Resolved,2026-03-09
36,2026-03-07,"348 Wang Centers, Scottfurt, MS 40998",LOW,Ever identify treatment standard city.,Resolved,2026-03-10
95,2026-03-07,"73746 Rebecca Mountain Apt. 673, New Lisaside, FL 83339",MEDIUM,Wind movie put.,Resolved,2026-03-08
59,2026-03-07,"883 Greene View, Wilsonville, WI 01924",LOW,Nor avoid low cost.,Resolved,2026-03-09
5,2026-03-08,"21243 Davis Mill, Sylviastad, UT 19268",MEDIUM,Full information strong through.,Resolved,2026-03-11
133,2026-03-10,"PSC 0977, Box 8620, APO AP 57910",MEDIUM,Prove defense do become teacher grow society spring. Join away rise recent.,Resolved,2026-03-17
163,2026-03-11,"43361 Mack Island Apt. 812, Port Susan, KS 81305",LOW,Hundred business hand she film. Note author exactly.,Resolved,2026-03-14
206,2026-03-11,"60517 Lisa Well, New Sarahville, GU 56615",CRITICAL,Raise enjoy black according.,Resolved,2026-03-15
12,2026-03-13,"PSC 8610, Box 8784, APO AA 95456",LOW,Seem bar sing easy letter.,Resolved,2026-03-15
41,2026-03-13,"Unit 0024 Box 4451, DPO AP 87156",MEDIUM,Alone TV feel population.,Resolved,2026-03-22
145,2026-03-13,"540 Baxter Roads, South Kimberly, RI 35798",HIGH,They tax off cover. Continue may finally live still suffer east.,Open,
84,2026-03-15,"4857 Roy Parks Apt. 178, Lake Melissa, AL 50095",LOW,Far reason candidate wait interesting. Per every fine significant professor tonight strategy.,Resolved,2026-03-17
169,2026-03-15,"282 Hernandez Throughway, Millerberg, RI 06749",MEDIUM,Return morning admit ever beautiful. Single without voice woman.,Resolved,2026-03-17
76,2026-03-16,"4331 Melissa Terrace Suite 752, Aimeemouth, NE 72171",MEDIUM,Provide because customer thank alone general believe.,Resolved,2026-03-21
197,2026-03-17,"USNV Oconnell, FPO AE 47131",LOW,Land read manage hold. Quickly after decide sell.,Resolved,2026-03-27
96,2026-03-17,"734 Ashley Ports Suite 902, Cardenasfort, TX 48340",MEDIUM,Himself animal represent factor movie. Result debate professor key clear.,Resolved,2026-03-21
30,2026-03-18,"984 Johnson Shoal Suite 448, Angelaside, TX 36715",LOW,Represent beautiful miss trip. Now great federal argue.,Resolved,2026-03-19
28,2026-03-20,"Unit 6666 Box 5102, DPO AP 04923",CRITICAL,Peace face kind sign information.,Resolved,2026-03-25
21,2026-03-22,"PSC 0580, Box 7216, APO AP 94277",MEDIUM,Mean maybe do stuff try. Determine baby whole although simple visit.,Open,
140,2026-03-22,"6452 Samantha Stravenue Apt. 481, South Travis, PW 52192",MEDIUM,Mind public color between vote. Give hotel probably analysis concern early everybody.,Resolved,2026-03-29
127,2026-03-24,"PSC 2280, Box 7252, APO AE 06415",LOW,Option skin ask mouth current. Heart seem sometimes share.,Resolved,2026-03-30
60,2026-03-24,"71149 Joshua Drives, Port Deborah, MT 38504",MEDIUM,Left similar miss hot unit easy less.,Resolved,2026-03-30
10,2026-03-25,"2561 Wilson Trace, Danielshire, SD 01351",MEDIUM,Throw response significant consider feel. Great religious onto economy compare three.,Resolved,2026-04-04
100,2026-03-25,"2102 Graham Islands Suite 857, New Courtneyfurt, MT 28361",LOW,Require family federal establish contain here send.,Resolved,2026-04-02
68,2026-03-26,"8467 Chandler Walks, Elizabethchester, WA 76271",MEDIUM,Spend keep benefit stand make could team. Sea budget easy born whether.,Resolved,2026-04-02
150,2026-03-27,"363 Taylor Pike, East Kevinburgh, VT 69019",LOW,Want serious former although arm again. Choice song near bank what couple.,Open,
14,2026-03-27,"071 Katherine Trail Apt. 154, North Tylerchester, GU 17460",LOW,As color less yeah. Pull woman partner sea.,Resolved,2026-04-05
94,2026-03-28,"289 Martinez Highway Suite 345, East Jennifer, AS 98850",LOW,Company plant heavy in approach cut management. Receive something you send worry chance yes image.,Resolved,2026-04-02
11,2026-03-28,"75771 Campos Walk, New Grant, WY 84169",MEDIUM,What share newspaper back. Explain picture forward medical that though skill.,Open,
137,2026-03-28,"5960 Rita Fields Suite 350, West Xavierberg, MP 19638",LOW,Kitchen up town baby.,Open,
