Incident_ID,Date,Location,Risk_Level,Incident_Summary,Status,Resolution_Date
201,2026-03-30,"5424 Kara Pike Suite 406, Williamtown, DC 09079",LOW,Lot traditional particular place thing kid. Example kid support garden add turn time.,Resolved,2026-03-31
181,2026-04-01,"91151 Thomas Ranch Apt. 151, Dominguezshire, WV 44997",CRITICAL,Four white exactly we and hold food.,Resolved,2026-04-02
50,2026-04-02,"384 Benitez Glens, New Joseph, GU 34467",HIGH,Two bank community.,Resolved,2026-04-04
164,2026-04-02,"0360 Mary Freeway Apt. 568, Lake Rebecca, ME 83742",HIGH,Specific vote form especially various student ahead present. Government significant night over.,Resolved,2026-04-11
173,2026-04-02,"96173 Young Meadow Apt. 897, New Teresa, AL 48143",MEDIUM,Try consider deep girl staff hold my.,Resolved,2026-04-06
102,2026-04-02,"821 Perry Path, Port Stanleyhaven, GU 76771",CRITICAL,Guess more grow school top production successful ball. Certainly teacher event.,Resolved,2026-04-09
109,2026-04-03,"9539 Caitlin Squares, Ibarraborough, MI 04967",MEDIUM,Learn catch practice stop with assume.,Resolved,2026-04-10
170,2026-04-04,"629 Jesse Extensions, West Darlene, IN 76641",MEDIUM,Evening theory outside player. Education different trade forward.,Resolved,2026-04-08
121,2026-04-04,"28679 Hensley Drives Suite 512, Port John, WV 39825",LOW,Mind then actually.,Resolved,2026-04-10
199,2026-04-04,"8710 John Plains Suite 979, South Deborah, MS 45912",LOW,Ahead force week the wife watch herself bring. Arrive present including mind will.,Open,
114,2026-04-05,"19551 Curtis Loaf Apt. 968, North Melissa, VA 32785",LOW,Ago support point visit over. College food so case color.,Open,
20,2026-04-06,"3222 Mark Green, North Shirleymouth, DC 85319",LOW,Pm approach avoid wonder black tax chance.,Resolved,2026-04-16
7,2026-04-08,"758 Austin Road, South Tashaville, PA 12398",LOW,Stage western service kid less role bed.,Resolved,2026-04-10
25,2026-04-08,"708 Ashley Union, North Benjamin, LA 65312",MEDIUM,Evening decade building issue. Thing anyone leg this.,Open,
110,2026-04-10,"878 Joseph Light, Alexfort, WV 77547",LOW,State chance fast chair sea one.,Open,
73,2026-04-10,"438 Elizabeth Mission, Robertsmouth, WA 50284",HIGH,Newspaper degree want crime whose.,Resolved,2026-04-11
108,2026-04-10,"231 Amanda Meadow, Port Rachel, WI 71751",LOW,Should best official. Most own next large write against answer.,Resolved,2026-04-13
34,2026-04-10,"7237 Flores View Apt. 840, Lake Patty, RI 14706",MEDIUM,Moment leg wide pretty federal budget.,Resolved,2026-04-13
39,2026-04-10,"36875 Wade Fields Suite 728, New Karenville, NY 56446",HIGH,Gun skin tend. Kid important player example.,Resolved,2026-04-13
26,2026-04-11,"169 Laura Track, South Jason, ID 85905",HIGH,Word agreement mother. Hundred toward data use international.,Resolved,2026-04-14
190,2026-04-11,"47145 Rachel Lights Suite 009, North Jorge, SD 31762",MEDIUM,Civil price newspaper amount air. Feel allow decide most.,Resolved,2026-04-14
136,2026-04-11,"1342 Stephanie Motorway, Jacobside, AK 61728",LOW,Sea once director exactly.,Resolved,2026-04-15
195,2026-04-16,"436 James Stream Suite 629, Tiffanyburgh, DE 05481",LOW,Music discuss capital teach.,Resolved,2026-04-17
53,2026-04-16,"3779 Zoe Island Suite 264, Millerview, MI 17358",LOW,Between story generation. Name dog factor continue whatever.,Open,
31,2026-04-16,"85402 Gallagher Square, Henryview, CA 86938",LOW,South design star big major real.,Open,
58,2026-04-17,"USCGC Miller, FPO AA 68592",LOW,Huge military next response old too size.,Resolved,2026-04-24
157,2026-04-18,"1779 Holly Coves Suite 509, Christinaton, DE 56638",HIGH,Nor yard property human save guess. Goal simple charge public.,Resolved,2026-04-27
204,2026-04-19,"64260 Bonnie Field, Brandonside, LA 09335",MEDIUM,Art head third partner.,Resolved,2026-04-26
105,2026-04-19,"640 Chapman Shore, Wongborough, WI 98395",LOW,Entire stage for stop parent say whether.,Resolved,2026-04-22
83,2026-04-20,"USNS Williams, FPO AP 34885",MEDIUM,Mind relate expert author. Employee best field market them accept.,Open,
33,2026-04-22,"6158 David Trafficway, Mirandaton, ND 82728",LOW,High their place work.,Resolved,2026-05-02
1,2026-04-23,"0015 Michael Mountains Suite 692, Port Leahborough, WI 95284",LOW,Eye my majority. Between edge benefit collection.,Resolved,2026-04-30
44,2026-04-24,"17003 Dunn Track Suite 882, West Peggystad, MO 60681",MEDIUM,Compare family interest. Set cut meet truth control.,Open,
128,2026-04-25,"27298 Jones Rue, Alvarezmouth, WI 36411",HIGH,Sit above order question. Own class think member girl.,Resolved,2026-05-02
40,2026-04-25,"127 Mathews Row, Port Gabriel, TX 63581",HIGH,Interview window machine heavy around make.,Open,
174,2026-04-25,"41627 Kelly Streets Suite 412, East Sabrinamouth, DC 68279",CRITICAL,City third measure wonder.,Resolved,2026-05-05
111,2026-04-28,"63025 Patton Mountain Apt. 762, Carrillomouth, AR 44890",MEDIUM,Behind voice million. Month best culture police turn budget.,Resolved,2026-05-06
191,2026-04-29,"0978 Jessica Knoll Suite 249, Rachelville, GA 97490",LOW,His enter plan audience example.,Resolved,2026-05-08
19,2026-04-30,"7957 Rivera Inlet Suite 652, South Samanthaton, UT 11051",LOW,Attention image though fear until.,Resolved,2026-05-07
17,2026-05-01,"105 Cain Drive Suite 742, West Andreastad, KS 75482",LOW,Exist whom thought speak.,Resolved,2026-05-04
78,2026-05-01,"861 Ritter Estates Apt. 002, Duffyfort, OR 96200",LOW,Claim less day weight thank increase. Question much understand different necessary.,Resolved,2026-05-10
16,2026-05-02,"09227 Virginia Groves, Lake Dawnchester, ME 65408",HIGH,Interview time return then. Off though light you central community control professional.,Resolved,2026-05-12
148,2026-05-02,"Unit 2307 Box 5702, DPO AA 17736",LOW,Laugh hope subject word by middle operation. By learn sea group attention.,Open,
82,2026-05-02,"835 Jerry Springs Apt. 127, South Jonathan, NH 22118",LOW,Hospital right medical administration discussion. Play bit long yeah policy.,Resolved,2026-05-11
87,2026-05-05,"24214 Scott Mill, Benjaminton, PR 61626",MEDIUM,Their question why through start air. News leg high charge floor.,Open,
37,2026-05-05,"47655 Collins Fords Suite 121, South Jesus, MT 02518",HIGH,List line street. Responsibility drug increase field.,Resolved,2026-05-07
56,2026-05-07,"25481 Shannon Plain, Tracyport, MH 27613",LOW,Stand after tonight moment nice identify bank.,Resolved,2026-05-15
23,2026-05-08,"5693 Krista Dam Apt. 384, South Alexa, WY 79162",LOW,Majority value financial. Together throw environmental country.,Resolved,2026-05-13
124,2026-05-08,"2183 Andrew Shores, New Zacharyside, AL 74700",LOW,Speech sea star might no suggest test. Project fly gas board.,Resolved,2026-05-10
64,2026-05-08,"6192 Rachael Ports Suite 998, Claudiastad, HI 77988",LOW,Bill begin light marriage their affect.,Open,
106,2026-05-10,"45800 Mcclure Village, Stephenchester, KS 70581",MEDIUM,Cell where community often method production.,Resolved,2026-05-11
81,2026-05-11,"16401 Martin Shores, Alicefort, WV 65191",LOW,Growth quickly herself chair year nice.,Open,
135,2026-05-11,"60952 Brittany Islands Apt. 589, Evansberg, IA 82284",MEDIUM,Begin here anyone what.,Resolved,2026-05-13
151,2026-05-12,"Unit 4240 Box 3082, DPO AA 39607",LOW,Fund energy area single attention of pick arm.,Open,
24,2026-05-13,"PSC 7409, Box 4911, APO AP 42527",MEDIUM,I middle issue drop. Produce responsibility down attack he country society.,Resolved,2026-05-23
115,2026-05-14,"65583 Gina Corner Suite 151, Matthewsland, WY 27507",MEDIUM,Travel cover him firm.,Resolved,2026-05-20
91,2026-05-14,"63916 Javier Trail, South Frank, AZ 05944",LOW,Since exactly speak appear trade. Especially bed fact gas as from.,Resolved,2026-05-23
55,2026-05-15,"0131 Johnson Glens, Aliberg, DE 58914",LOW,Administration rest house that. Finish south own board issue late.,Resolved,2026-05-23
182,2026-05-16,"2778 Henry Well, Harrismouth, MO 54036",MEDIUM,Church state event whom through. Actually necessary own mean report team.,Open,
45,2026-05-16,"8799 Murphy Parkway Suite 754, South Gabriellechester, NJ 64881",MEDIUM,Forward garden likely forward book education note. White ask into hair may kind.,Open,
18,2026-05-18,"077 Sandra Cape, Lake Roberthaven, CO 44951",MEDIUM,Own whole manage one.,Resolved,2026-05-26
147,2026-05-18,"PSC 3617, Box 4605, APO AE 07002",LOW,Short bag until none program answer. Contain growth want this.,Resolved,2026-05-22
161,2026-05-19,"7974 Ortiz River, Rileyland, NC 83969",HIGH,Likely yes week else.,Open,
180,2026-05-20,"54107 Karen Motorway, New William, NY 24487",LOW,Because garden leg hear question claim left.,Open,
178,2026-05-20,"1299 Ortiz Camp, Roseburgh, NE 22820",HIGH,Newspaper fire down service. Show win group option.,Resolved,2026-05-23
194,2026-05-21,"754 Amanda Route Suite 075, Lake Sherryhaven, VI 61233",HIGH,Trial attorney late day rather wish.,Resolved,2026-05-27
90,2026-05-23,"PSC 6862, Box 7211, APO AE 02954",CRITICAL,Bar memory budget young in should. Type we people claim bar.,Resolved,2026-05-25
48,2026-05-23,"6146 Miller Keys, East Zacharymouth, NE 79808",LOW,Manager movement try south drop.,Open,
142,2026-05-23,"335 Simpson Ferry, West Matthewland, FL 04503",LOW,Camera common its study person bar call. Produce today item.,Resolved,2026-05-29
77,2026-05-25,"26364 Smith Shoals, Danielbury, IN 02541",HIGH,Must around item relate with voice as. Surface hospital treatment some purpose probably arrive.,Resolved,2026-06-04
207,2026-05-26,"58021 Nicholas Inlet, Pattersonburgh, ME 35801",MEDIUM,Certain provide they several. Daughter whom always moment.,Resolved,2026-05-30
42,2026-05-28,"6830 Kramer Shores Apt. 085, Port Kimberlyland, UT 28102",MEDIUM,Model central impact letter.,Resolved,2026-06-02
130,2026-05-28,"242 Gonzalez Flats Apt. 923, Markstad, DE 62110",MEDIUM,Argue else lawyer space early. Lead fine whether my rest event stage.,Resolved,2026-06-06
146,2026-05-29,"01900 Pena Valleys, Michellebury, VT 92896",MEDIUM,Difficult with phone create glass bad rich.,Open,
184,2026-05-30,"69172 Guerrero Station, Robinsonfurt, NH 63166",MEDIUM,Few serious on book either.,Resolved,2026-06-07
208,2026-05-30,"7377 Daniel Ferry Apt. 286, North Coryburgh, HI 03102",MEDIUM,Billion happen city get able history brother. Goal red research executive ahead office live.,Open,
65,2026-06-01,"15941 Deborah Plaza Apt. 513, West Brittany, SC 71130",MEDIUM,Account into affect itself billion body daughter nice. Bar reflect mission court.,Open,
71,2026-06-02,"0801 Briana Union, New Joshuashire, IL 58202",MEDIUM,Ground let country politics fund never. Grow return participant remember stop wrong young.,Open,
113,2026-06-03,"532 Mendoza Expressway Apt. 795, North Nicholas, MD 79766",LOW,Large ball your doctor child people step. Radio population serve poor all test allow.,Resolved,2026-06-07
159,2026-06-03,"95461 Jeffrey Crest, Lake Geoffrey, MH 97586",HIGH,Fly region determine recognize fight go. Become chair stuff want.,Open,
2,2026-06-03,"697 Samantha Extension, West Lisa, DC 90906",MEDIUM,Coach laugh all together pretty model.,Resolved,2026-06-09
154,2026-06-04,"92089 Katrina Ford Apt. 174, Nunezton, RI 47254",HIGH,Item morning key at measure recognize.,Resolved,2026-06-11
75,2026-06-08,"414 James Spring Apt. 284, Pattersonchester, VT 85557",LOW,Low drug authority newspaper there. Score guess guy data expect require light help.,Resolved,2026-06-12
9,2026-06-08,"2906 Ronnie Branch, Port Darrenville, NE 22219",LOW,Center must could some population.,Resolved,2026-06-11
72,2026-06-09,"0256 Scott Ville, Lake Joseph, GU 83340",HIGH,Really another sit. Consider vote find TV run.,Resolved,2026-06-17
57,2026-06-09,"0666 Claudia Fork, Kimberlyville, ID 64098",LOW,Republican phone sport.,Resolved,2026-06-16
162,2026-06-09,"8677 Aguilar Land, Lake Calvin, GU 35881",MEDIUM,One town American end popular. People international artist yard.,Resolved,2026-06-13
107,2026-06-09,"435 Davis Junctions, Ericville, MH 01659",LOW,Person test area far fear quality inside seven.,Resolved,2026-06-14
63,2026-06-10,"97350 Michael Spur, Hughesfurt, ID 60397",MEDIUM,Management indeed suddenly medical.,Resolved,2026-06-16
85,2026-06-10,"PSC 4393, Box 4100, APO AE 30001",MEDIUM,Region rest receive car several. Glass quickly exist form project purpose all though.,Resolved,2026-06-19
166,2026-06-11,"30600 Alexander Drive, Hunterfurt, AR 34576",LOW,Bag that sport always bill who rest. Compare test player administration run cold only.,Resolved,2026-06-20
52,2026-06-11,"08658 Day Harbor Apt. 298, Hoganmouth, DC 09190",LOW,A ball attack. Art stock explain political form.,Resolved,2026-06-19
47,2026-06-11,"7881 Sergio Hollow Apt. 277, Ericahaven, WV 64115",LOW,Collection the senior strategy peace ball professor thought. Instead five the music.,Resolved,2026-06-13
62,2026-06-14,"480 Nguyen Pass Apt. 913, West Michael, NV 85766",MEDIUM,Already society direction police.,Resolved,2026-06-24
152,2026-06-14,"Unit 4452 Box 4142, DPO AE 58846",LOW,Trip fear job improve.,Resolved,2026-06-17
67,2026-06-15,"3993 Megan Flats, New Robertatown, HI 89315",LOW,Keep how color better. Question off feel see much especially site.,Resolved,2026-06-24
13,2026-06-18,"0645 Kenneth Cape, Garystad, VI 78829",LOW,Those off son let. Consider ball drop staff bill herself coach heart.,Resolved,2026-06-20
112,2026-06-18,"30657 Hoffman Highway Suite 880, Nicolehaven, FM 93063",MEDIUM,Agreement friend which field though past least. Measure forward enter.,Open,
165,2026-06-19,"166 Cynthia Estates, New Paulport, NC 30830",LOW,Accept president ball these order join commercial.,Resolved,2026-06-24
8,2026-06-20,"95075 Watson Mall Suite 514, North Brianshire, GU 05257",MEDIUM,This stock senior girl offer. National song myself really news main wall.,Open,
125,2026-06-20,"706 Rodgers Meadow, West Christine, MP 45011",LOW,Enter modern leg somebody a less.,Resolved,2026-06-29
92,2026-06-21,"674 Rodriguez Union Suite 690, Beckerburgh, IN 90066",HIGH,Physical party couple west.,Resolved,2026-06-29
143,2026-06-23,"754 Fleming Dale, Hayestown, GU 53306",MEDIUM,Almost often school network property. Live discuss southern what issue.,Resolved,2026-07-02
38,2026-06-23,"97238 Veronica Summit, Williammouth, VA 67169",LOW,Across officer return enter arm project. Reason animal organization physical seem bit letter.,Open,
126,2026-06-23,"56527 Lindsey Loop Apt. 901, West Clintonhaven, AZ 56950",LOW,Act reason war. Contain economy nearly think reach draw democratic.,Resolved,2026-07-02
103,2026-06-23,"53602 Matthew Inlet, Amberchester, DE 31885",LOW,Support sense stock.,Resolved,2026-06-28
99,2026-06-24,"956 Jessica Ferry, West Cynthiaport, VI 93135",MEDIUM,Today TV girl his real parent sport. Say bag whom tell establish they site.,Resolved,2026-06-27
167,2026-06-24,"080 Isabel Mount Apt. 069, East Linda, MA 19689",LOW,Leg system attention glass hope young Republican candidate.,Resolved,2026-07-04
116,2026-06-25,"6514 James Fields, Moranside, ND 78853",HIGH,Sort rise stop particularly benefit establish maybe view. Range bar budget.,Open,
